word,disc,celex_gcm_wf,celex_gcm_nof,reg.av,category,moder,celex_gcm_wf_trans_moder_reg
yeeve,jiv,0.564700145859214,0.619926054892201,0.5693069306930693,ove,DROVE,0.645612793616819
yide,j2d,0.767363832258601,0.789723355615459,0.400990099009901,ove,DROVE,0.7837029164929844
yill,jIl,0.992526997769359,0.995208555232278,0.7178217821782178,novowelt,BURNT,0.9777650118443625
yine,j2n,0.952900997353231,0.98339340591982,0.6732673267326733,ove,DROVE,0.9440759494037442
yite,j2t,0.796811579695436,0.858786528419055,0.4603960396039604,ove,DROVE,0.807537609355148
zeem,zim,0.909237599989396,0.946276774771563,0.6633663366336634,vowelt,KEPT,0.9025184696394919
zeep,zip,0.690123736035213,0.629424564834152,0.4405940594059406,vowelt,KEPT,0.6654634684106984
zell,zEl,0.958731691260121,0.976453181602807,0.6386138613861386,novowelt,BURNT,0.8913122804512489
zide,z2d,0.896397919335222,0.789723355615459,0.400990099009901,ove,DROVE,0.8948642383187014
zim,zIm,0.74475746533319,0.954051667087709,0.7326732673267327,ablaut,SANG,0.76454327311193
zite,z2t,0.922085742067684,0.858786528419055,0.5396039603960396,ove,DROVE,0.9122749508299018
